DAY,MONTH,YEAR,TIME (HOUR),TIME (MINUTE),AM/PM,FOCAL REFERENCE CODE,OBSERVER 1,OBSERVER 2,WEATHER,TEMP,FOCAL ID,SEX,AGE,ESTRUS,FOCAL PERIOD,FOCAL MINUTE,BEHAVIOUR,ASSOCIATION,CONFLICT OUTCOME,G.P.S. Location,,Notes
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,8,SC,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,11,YA,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,11,YA,,,,,
18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,11,SC,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,3,SC,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,8,SC,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,14,SC,,,,,
18,3,2016,9,57,AM,370503,AMANDA,PILIRANI,SU,W,JA,M,A,,2,15,SC,,,,,
18,3,2016,10,22,AM,370504,AMANDA,PILIRANI,SU,W,BL,F,A,,2,5,MP+,NE,1,,,
18,3,2016,11,5,AM,370505,AMANDA,PILIRANI,SU,W,PO,M,A,,2,9,SG,,,,,
18,3,2016,11,30,AM,370506,AMANDA,PILIRANI,SU/LR,W,NE,M,J,,2,2,SC,,,,,
18,3,2016,11,30,AM,370506,AMANDA,PILIRANI,SU/LR,W,NE,M,J,,2,2,SC,,,,,
18,3,2016,11,30,AM,370506,AMANDA,PILIRANI,SU/LR,W,NE,M,J,,2,9,A-,RE,0,,,
18,3,2016,11,30,AM,370506,AMANDA,PILIRANI,SU/LR,W,NE,M,J,,2,11,SC,,,,,
18,3,2016,11,30,AM,370506,AMANDA,PILIRANI,SU/LR,W,NE,M,J,,2,11,SC,,,,,
