RELEASE,DAY,MONTH,YEAR,TIME (HOUR),TIME (MINUTE),AM/PM,FOCAL REFERENCE CODE,OBSERVER 1,OBSERVER 2,WEATHER,TEMP,FOCAL ID,SEX,AGE,ESTRUS,FOCAL PERIOD,FOCAL MINUTE,BEHAVIOUR,BEHAVIOUR 2,ASSOCIATION,FOOD TYPE,FOOD Type 2,POSITION IN CANOPY,Position2,Position3,PLANT SPECIES,PLANT SPECIES SAT ON,G.P.S. Location,,NOteS,Date End
POST,18,3,2016,9,08,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,1,FE,,,FR,,LC1,,,,,0507239 X 8554761,,,2016-08-23
POST,18,3,2016,9,09,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,2,L,,,,,MC1,,,,,,,,2016-08-23
POST,18,3,2016,9,10,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,3,V,,,,,MC2,,,,,,,,2016-08-23
POST,18,3,2016,9,11,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,4,FE,,,TB,,MC2,,,,,,,,2016-08-23
POST,18,3,2016,9,12,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,5,V,,,,,MC2,,,,,,,,2016-08-23
POST,18,3,2016,9,13,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,6,V,,,,,MC1,,,,,,,,2016-08-23
POST,18,3,2016,9,14,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,7,OS,,,,,,,,,,,,,2016-08-23
POST,18,3,2016,9,15,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,8,V,,,,,LC2,,,,,,,,2016-08-23
POST,18,3,2016,9,16,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,9,L,,,,,LC1,,,,,,,,2016-08-23
POST,18,3,2016,9,17,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,10,OS,,,,,,,,,,,,,2016-08-23
POST,18,3,2016,9,18,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,11,V,,,,,NS1,,,,,,,,2016-08-23
POST,18,3,2016,9,19,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,12,OS,,,,,,,,,,,,,2016-08-23
POST,18,3,2016,9,20,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,13,OS,,,,,,,,,,,,,2016-08-23
POST,18,3,2016,9,21,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,14,OS,,,,,,,,,,,,,2016-08-23
POST,18,3,2016,9,22,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,15,OS,,,,,,,,,,,,,2016-08-23
POST,18,3,2016,9,23,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,16,FO,,,,,MC2,,,,,,,,2016-08-23
POST,18,3,2016,9,24,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,17,OS,,,,,,,,,,,,,2016-08-23
POST,18,3,2016,9,25,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,18,FO,,,,,MC1,,,,,,,,2016-08-23
POST,18,3,2016,9,26,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,19,OS,,,,,,,,,,,,,2016-08-23
POST,18,3,2016,9,27,AM,370501,AMANDA,PILIRANI,SU,W,TI,F,A,,2,20,FO,,,,,G,,,,,,,,2016-08-23
POST,18,3,2016,9,33,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,1,L,,,,,MC1,,,,,0507239 X 8554761,,,2016-03-18
POST,18,3,2016,9,34,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,2,V,,,,,MC1,,,,,,,,2016-03-18
POST,18,3,2016,9,35,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,3,V,,,,,TC1,,,,,,,,2016-03-18
POST,18,3,2016,9,36,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,4,V,,,,,TC1,,,,,,,,2016-03-18
POST,18,3,2016,9,37,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,5,V,,,,,TC1,,,,,,,,2016-03-18
POST,18,3,2016,9,38,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,6,V,,,,,MC1,,,,,,,,2016-03-18
POST,18,3,2016,9,39,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,7,V,,,,,MC1,,,,,,,,2016-03-18
POST,18,3,2016,9,40,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,8,L,,,,,LC1,,,,,,,,2016-03-18
POST,18,3,2016,9,41,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,9,V,,,,,LC1,,,,,,,,2016-03-18
POST,18,3,2016,9,42,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,10,V,,,,,LC1,,,,,,,,2016-03-18
POST,18,3,2016,9,43,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,11,V,,,,,LC1,,,,,,,,2016-03-18
POST,18,3,2016,9,44,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,12,V,,,,,LC1,,,,,,,,2016-03-18
POST,18,3,2016,9,45,AM,370502,AMANDA,PILIRANI,CL,W,ZI,M,A,,2,13,V,,,,,LC1,,,,,,,,2016-03-18
