,DAY,MONTH,YEAR,TIME (HOUR),TIME (MINUTE),AM/PM,FOCAL REFERENCE CODE,OBSERVER 1,OBSERVER 2,WEATHER,TEMP,FOCAL ID,SEX,AGE,ESTRUS,FOCAL PERIOD,FOCAL MINUTE,BEHAVIOUR,ASSOCIATION,CONFLICT OUTCOME,G.P.S. Location,,Notes,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,0,SC,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,0,SG,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,5,SG,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,6,SC,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,6,SC,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,6,SG,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,7,SC,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,7,SG,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,10,SG,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,11,SC,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,11,SG,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,12,SG,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,16,SG,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,17,SC,,,,,,,,,
,1,6,2015,6,49,AM,010101,NIKA,FLISS,SU,W,PO,M,A,0,1,19,SG,,,,,,,,,
,1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,0,1,3,SG,,,,,,,,,
,1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,0,1,3,SC,,,,,,,,,
,1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,0,1,4,SC,,,,,,,,,
,1,6,2015,7,16,AM,010102,NIKA,FLISS,SU,W,AL,F,A,0,1,5,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,2,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,3,MP-,NE,2,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,4,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,7,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,7,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,8,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,9,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,10,MP-,NE,2,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,12,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,12,MP-,UK,2,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,13,AH,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,14,SG,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,15,SC,,,,,,,,,
,1,6,2015,7,47,AM,010103,NIKA,FLISS,SU,W,NY,M,SA,0,1,19,SC,,,,,,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,2,PL,TI,,,,,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,2,G+,TI,,,,,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,2,PL,I,,,,UNIDENTIFIED INFANT,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,3,PL,I,,,,UNIDENTIFIED INFANT,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,5,PL,I,,,,UNIDENTIFIED INFANT,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,6,PL,I,,,,UNIDENTIFIED INFANT,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,6,PL,NE,,,,SHE WAS PLAYING WITH NEVILLE AND INFANT AT THE SAME TIME,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,7,PL,UK,,,,ASSOCIATION UNKNOWN,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,8,PL,I,,,,SHE WAS PLAYING WITH NEVILLE AND 2 INFANTS AT THE SAME TIME,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,8,PL,I,,,,SHE WAS PLAYING WITH NEVILLE AND 2 INFANTS AT THE SAME TIME,,,,
,1,6,2015,12,34,PM,010104,NIKA,FLISS,C,H,KO,F,J,0,3,8,PL,NE,,,,SHE WAS PLAYING WITH NEVILLE AND 2 INFANTS AT THE SAME TIME,,,,
,1,6,2015,1,32,PM,010105,NIKA,FLISS,SU,H,MG,M,SA,0,3,0,SC,,,,,,,,,
,1,6,2015,1,32,PM,010105,NIKA,FLISS,SU,H,MG,M,SA,0,3,2,SC,,,,,,,,,
,1,6,2015,1,32,PM,010105,NIKA,FLISS,SU,H,MG,M,SA,0,3,3,SC,,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,3,SC,,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,3,PL,UK,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,4,PL,UK,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,4,G-,UK,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,5,G-,UK,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,6,G+,MA,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,7,G-,MA,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,8,G-,MA,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,9,MP-,AU,2,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,9,G-,MA,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,9,PL,NE,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,10,PL,NE,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,11,SC,,,,,,,,,
,1,6,2015,2,4,PM,010106,NIKA,FLISS,C,H,ED,F,J,0,3,17,SC,,,,,,,,,
